STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/29/61,,,,,,,,,0.02,",,0",0.2,",,0",11,",,0",22,",,0",11,",,0",16,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/30/61,,,,,,,,,0,"T,,0",0,"T,,0",11,",,0",24,",,0",13,",,0",22,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,1/31/61,,,,,,,,,0.17,",,0",5,",,0",13,",,0",24,",,0",18,",,0",19,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/1/61,,,,,,,,,0,",,0",0,",,0",13,",,0",20,",,0",14,",,0",18,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/2/61,,,,,,,,,0,"T,,0",0,"T,,0",13,",,0",19,",,0",-3,",,0",8,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/3/61,,,,,,,,,0.07,",,0",1,",,0",13,",,0",18,",,0",4,",,0",16,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/4/61,,,,,,,,,0.01,",,0",1,",,0",14,",,0",27,",,0",-5,",,0",24,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/5/61,,,,,,,,,0,",,0",0,",,0",13,",,0",33,",,0",-7,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/6/61,,,,,,,,,0,",,0",0,",,0",10,",,0",39,",,0",10,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/7/61,,,,,,,,,0.02,",,0",0.3,",,0",8,",,0",36,",,0",3,",,0",34,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/8/61,,,,,,,,,0,",,0",0,",,0",7,",,0",41,",,0",3,",,0",39,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/9/61,,,,,,,,,0,",,0",0,",,0",6,",,0",41,",,0",27,",,0",35,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/10/61,,,,,,,,,0,",,0",0,",,0",5,",,0",36,",,0",15,",,0",34,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/11/61,,,,,,,,,0.01,",,0",0.3,",,0",5,",,0",35,",,0",28,",,0",33,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/12/61,,,,,,,,,0,",,0",0,",,0",5,",,0",35,",,0",29,",,0",34,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/13/61,,,,,,,,,0,",,0",0,",,0",3,",,0",48,",,0",30,",,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/14/61,,,,,,,,,0,",,0",0,",,0",2,",,0",40,",,0",32,",,0",37,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/15/61,,,,,,,,,0,",,0",0,",,0",1,",,0",44,",,0",26,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/16/61,,,,,,,,,0,",,0",0,",,0",0,"T,,0",37,",,0",19,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/17/61,,,,,,,,,0,",,0",0,",,0",0,",,0",50,",,0",31,",,0",43,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/18/61,,,,,,,,,0.56,",,0",0,",,0",0,",,0",57,",,0",34,",,0",54,",,0",,,1,",,0",,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/19/61,,,,,,,,,0.05,",,0",0,",,0",0,",,0",54,",,0",17,",,0",25,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/20/61,,,,,,,,,0,",,0",0,",,0",0,",,0",42,",,0",18,",,0",39,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/21/61,,,,,,,,,0,",,0",0,",,0",0,",,0",50,",,0",21,",,0",45,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/22/61,,,,,,,,,0,",,0",0,",,0",0,",,0",53,",,0",24,",,0",46,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/23/61,,,,,,,,,0.3,",,0",0,",,0",0,",,0",48,",,0",40,",,0",44,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/24/61,,,,,,,,,0.02,",,0",0,",,0",0,",,0",45,",,0",36,",,0",37,",,0",1,",,0",,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/25/61,,,,,,,,,0.25,",,0",0.4,",,0",0,"T,,0",39,",,0",28,",,0",28,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/26/61,,,,,,,,,0,",,0",0,",,0",0,",,0",40,",,0",28,",,0",36,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/27/61,,,,,,,,,0,",,0",0,",,0",0,",,0",38,",,0",32,",,0",34,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,2/28/61,,,,,,,,,0,",,0",0,",,0",0,",,0",46,",,0",22,",,0",42,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/1/61,,,,,,,,,0,",,0",0,",,0",0,",,0",46,",,0",22,",,0",42,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/2/61,,,,,,,,,0,",,0",0,",,0",0,",,0",58,",,0",31,",,0",57,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/3/61,,,,,,,,,0,",,0",0,",,0",0,",,0",58,",,0",37,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/4/61,,,,,,,,,0.19,",,0",0,",,0",0,",,0",50,",,0",33,",,0",34,",,0",,,1,",,0",,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,3/5/61,,,,,,,,,0.42,",,0",0,",,0",0,",,0",52,",,0",31,",,0",35,",,0",,,,,,,,,,,,,,
